Subject,Start Date,End Date,All Day Event,Location
Rottaler Volksfest Pfarrkirchen,03.04.2024,07.04.2024,TRUE,Pfarrkirchen
Frühlingsfest in Zeitlarn,04.04.2024,07.04.2024,TRUE,Zeitlarn
Volksfest Neufahrn/München,10.04.2024,14.04.2024,TRUE,Neufahrn/München
Neuburger Frühjahrsdult,11.04.2024,14.04.2024,TRUE,Neuburg a.d. Donau
Puchheimer Volksfest "Auftakt 2024",12.04.2024,21.04.2024,TRUE,Puchheim
Oids Panger Volksfest Frühjahrsfest,12.04.2024,21.04.2024,TRUE,Rosenheim
638. Landshuter Frühjahrsdult,12.04.2024,21.04.2024,TRUE,Landshut
Volksfest Gerzen,18.04.2024,21.04.2024,TRUE,Gerzen
72. Volksfest Kulmbach,19.04.2024,28.04.2024,TRUE,Kulmbach
Gerner Dult in 84307 Eggenfelden,19.04.2024,30.04.2024,TRUE,Eggenfelden
58. Frühlingsfest auf der Münchner Theresienwiese,19.04.2024,05.05.2024,TRUE,München
Donaumoos Volksfest 2024,24.04.2024,28.04.2024,TRUE,Karlshuld
Hallberger Wiesn,25.04.2024,27.04.2024,TRUE,Hallbergmoos
Maibaumfest Moosach St. Martins Platz,25.04.2024,01.05.2024,TRUE,München
Frühlingsfest Roth b. Nbg.,26.04.2024,29.04.2024,TRUE,Roth b. Nürnberg
Marktler Volksfest - Markler Dult,26.04.2024,30.04.2024,TRUE,Marktl
53. Moosburger Fühlingsfest,26.04.2024,01.05.2024,TRUE,Moosburg a.d. Isar
Volksfest Garching a.d. Alz,26.04.2024,05.05.2024,TRUE,Garching a.d. Alz
Maidult Burglengenfeld,26.04.2024,05.05.2024,TRUE,Burglengenfeld
VdK Frühlingsfest Deggendorf,26.04.2024,05.05.2024,TRUE,Deggendorf
Passauer Maidult,26.04.2024,05.05.2024,TRUE,Passau
Volksfest Fürstenfeldbruck,26.04.2024,05.05.2024,TRUE,Fürstenfeldbruck
Frühlingsfest Weiden i.d. Opf.,26.04.2024,05.05.2024,TRUE,Weiden i.d. Opf.
Auer Maidult - der Frühjahrsklassiker in der Münchner Au,27.04.2024,05.05.2024,TRUE,München
35. Aichbachtaler Volksfest in Niederaichbach bei Ohu,02.05.2024,05.05.2024,True,Niederaichbach bei Ohu
Volksfest Schrobenhausen,02.05.2024,06.05.2024,True,Schrobenhausen
Gars a. Inn "Au Dult"Volksfest in Gars a. Inn,03.05.2024,09.05.2024,True,Gars a. Inn
51. Truderinger Festwoche,03.05.2024,12.05.2024,True,Trudering
54. Burghauser Mai-Wies’n in Burghausen, Messegelände,03.05.2024,12.05.2024,True,Burghausen
Frühlingsfest Großkarolinenfeld,03.05.2024,12.05.2024,True,Großkarolinenfeld
Volksfest in Markt Indersdorf traditionelles Volksfest in der Himmelfahrtswoche auf der Festwiese,03.05.2024,12.05.2024,True,Markt Indersdorf
Himmelfahrtsmarkt Kempten,03.05.2024,12.05.2024,True,Kempten
Grandauer Volksfest in Grafing,03.05.2024,12.05.2024,True,Grafing
Volksfest Mammendorf,08.05.2024,12.05.2024,True,Mammendorf
51. Chamer Frühlingsfest in Cham,08.05.2024,13.05.2024,True,Cham
Traunsteiner Frühlingsfest,08.05.2024,19.05.2024,True,Traunstein
Wasserburger Frühlingsfest am Badria,08.05.2024,20.05.2024,True,Wasserburg am Inn
47. Volksfest Rudelzhausen,09.05.2024,12.05.2024,True,Rudelzhausen
Kirchweih in Eckersmühlen,09.05.2024,13.05.2024,True,Eckersmühlen
Weilheimer Volksfest,09.05.2023,20.05.2023,True,Weilheim
3. Frühlingsfest Erding auf dem Volksfestplatz,09.05.2024,20.05.2024,True,Erding
Maidult Regensburg,09.05.2024,26.05.2024,True,Regensburg
Mooser Pfingstvolksfest - Pfingstfest Moos,17.05.2024,20.05.2024,True,Moos
Neustädter Pfingstvolksfest auf dem Volksfestplatz in Neustadt an der Donau,17.05.2024,20.05.2024,True,Neustadt an der Donau
Pfingstfest Klosterlechfeld,17.05.2024,20.05.2024,True,Klosterlechfeld
Pfingst-Dult Amberg,17.05.2024,26.05.2024,True,Amberg
Pfingstvolksfest Ingolstadt,17.05.2024,26.05.2024,True,Ingolstadt
Bayreuther Volksfest,17.05.2024,26.05.2024,True,Bayreuth
Pfingstvolksfest Bad Aibling,17.05.2024,26.05.2024,True,Bad Aibling
71. Lohhofer Volksfest (Unterschleißheim b. München),17.05.2024,29.05.2024,True,Unterschleißheim
Die Salzburger Dult,18.05.2024,26.06.2024,True,Salzburg
Pfingstwoche "Kötztinger Pfingstritt" mit Volksfest in Bad Kötzting,18.05.2024,27.06.2024,True,Bad Kötzting
Altöttinger Hofdult,23.05.2024,02.06.2024,True,Altötting
61. Volksfest Velden,23.05.2024,03.06.2024,True,Velden
